SrNo,College_Code,Institue_Name,Address,Email,District,Principal_Name,Office_No,Personal_No,TPO_Name,Autonomy_Status,Year_of_Establishment
11,1124,"G.H. Raisoni college of Engineering & Management, Amravati","Anjangaon, Bari Road, Amravati",vijay.rathod@raisoni.net,Amravati,Dr. Vijay R. Rathod,2385432,2385429,Dr. Anand Deshpande,Non-Autonomous,2008
12,1125,"Dwarka Bahu Uddeshiya Gramin Vikas Foundation, Rajarshri Shahu College of Engineering, Buldhana","Rajarshi Shahu Nagar, Near Palna Ghar, Sagwan Road, Buldhana",rsc_engg@rediffmail.com,Buldhana,Dr. Jayant P. Kaware,287167,242080,Adv. Ms. Kirti Sawale,Non-Autonomous,2008
13,1127,"Jagadambha Bahuuddeshiya Gramin Vikas Sanstha's Jagdambha College of Engineering and Technology, Yavatmal","Sr. No.167/1,167/2 &163/,Arni Road, Mauza-Kinhi,Tal & Dist-Yavatmal",principal@jcoet.org,Yavatmal,Dr. H.M. Baradkar,244226,244226,Hemant M Baradkar,Non-Autonomous,2009
14,1128,"Prof Ram Meghe College of Engineering and Management, Badnera","New Express Highway, Badnera Dist. Amravati",principal@prmceam.ac.in,Amravati,Dr. M. S. Ali,2580373,2578385,Mr. Sagar J Chandak,Non-Autonomous,2009
15,1129,"Dhamangaon Education Society's College of Engineering and Technology, Dhamangaon","Knowledge Hub, Anjansingi Road, Dhamangaon RlY. Station, Amravati",desdcoet@rediffmail.com,Amravati,Dr. L. P. Dhamande,237335,237335,Prof. Rajkumar Yadav,Non-Autonomous,2009
16,1148,"P. R. Pote Patil Institute of Engineering & Research, At Kathora, Amravati","Kathora Road, Pote Estate, Mu. Kathora Ta. Dist Amravati",prpatilengineering@gmail.com,Amravati,Prof. Parag R. Wadnerkar,2970408,2970111,Kishor Deshmukh,Non-Autonomous,2018
17,1180,"Sanmati Engineering College, Sawargaon Barde, Washim","Survey no. 40, Washim-Malegaon Road, At. Post Sawargaon Barde Dist. Washim",engineering@sanmati.in,Washim,Dr.Priyadarshi Jaruhar,234302,233090,Vikas Joshi,Non-Autonomous,2010
18,1182,"Padmashri Dr. V.B. Kolte College of Engineering, Malkapur, Buldhana","Malkapur, Dist. Buldhana",coemalkapur@rediffmail.com,Buldhana,Dr. A W KHARCHE,226700,224943,Mr. Ramakant Rane,Non-Autonomous,2010
19,1268,"Siddhivinayak Technical Campus, School of Engineering & Research Technology, Shirasgon, Nile","Gat No.133,134 & 140, Shegaon Khamgaon Road, Shirasgaon, Nile, Tal. Shegaon",admn.stc@gmail.com,Buldhana,Dr. Anant G. Kulkarni,220222,220333,Prof. Umesh Kute,Non-Autonomous,2011
20,1276,"Manav School of Engineering & Technology, Gut No. 1035 Nagpur Surat Highway, NH No. 6 Tal.Vyala, Balapur, Akola, 444302","Gut No.1035, Surat Nagpur Highway Vyala, Tal.Balapur, Akola",principal@manavengineering.ac.in,Akola,Pralhad Polgawande,238406,238406,Santosh Kale,Non-Autonomous,2013
21,1278,"Let.Dr.D.B.Dod College of Engineering, Jambla,Achalpur","Sr.No.32/4 , Mauja Jambla, Anjangaon Road, Paratwada Tal. Achalpur Dist. Amravati",drdbdod@rediffmail.com,Amravati,Chandrashekhar D Dod,225503,9970931278,Jayashree R. Talokar,Non-Autonomous,2014
22,2008,"Government College of Engineering, Aurangabad","Station Road, Osmanpura, Aurangabad",principalgeca@yahoo.com,Aurangabad,Dr. P. B. MURNAL,2366111,2366111,Rasal Shivaji Bhagwan,Autonomous,1960
23,2020,"Shri Guru Gobind Singhji Institute of Engineering and Technology, Nanded","Vishnupuri, Nanded",director@sggs.ac.in,Nanded,Dr. Yashwant V. Joshi,229234,229234,Mr. S. M. Nilangekar,Autonomous,1981
24,2113,"G. S. Mandal's Maharashtra Institute of Technology, Aurangabad","N.H. No. 211,Beed bypass Road, Satara, Aurangabad",spbhosle2001@gmail.com,Aurangabad,Dr. S. P. Bhosle,2375222,2375222,Prof.Makarand Suresh Vaishnav,Non-Autonomous,2001
25,2125,"S.V.S.P. Mandal's Swami Vivekanand Institute of Technology and Mangement ,Udgir","Avalkonda Road, Udgir, Dist. Latur. 413517",svitm934@gmail.com,Latur,Dr. S.B. Jagtap,253970,253970,Datta Gharge,Non-Autonomous,2008
26,2126,"Gramodyogik Shikshan Mandal's Marathwada Institute of Technology, Aurangabad","P.B.-327, Satara Village Rd., off Beed By-Pass Highway ,Aurangabad",principal.mite@mit.asia,Aurangabad,Dr. N.G. PATIL,2375375,2375111,SHRI. SURENDRA R. PATIL,Non-Autonomous,1984
27,2127,"Mahatma Gandhi Missions College of Engineering, Hingoli Rd, Nanded.","Near Airport,Hingoli Road, Nanded",mgmcen@mgmcen.ac.in,Nanded,Dr. (Mrs.) Geeta S. Lathkar,222999,224087,Mrs. Amruta A. Sarsar,Non-Autonomous,1984
28,2129,"M.S. Bidve Engineering College, Latur","P.O. Box No. 112, Barshi Road, Latur",principal@msbecl.ac.in,Latur,Prof. N.B. Khatod,221255,221846,MRS. BAWAGE V.V.,Non-Autonomous,1983
29,2131,"Shree Tuljabhavani College of Engineering, Tuljapur","Naldurg Road, Tuljapur, Dist. Osmanabad",stbcet@gmail.com,Osmanabad,Dr. Shekhar M Jagade,243603,243603,Ms. S.T. Koli,Non-Autonomous,1983
30,2132,"M.G.M.'s Jawaharlal Nehru Engineering College, Aurangabad","Mahatma Gandhi Mission's Jawaharlal Nehru Engg. College Campus, N-6, CIDCO",jnec@jnec.ac.in,Aurangabad,"Dr.Harirang H. Shinde, M.E (Civil-Soil), Ph.D.)",2482893,2481434,Mrs. Aishwarya D. Joshi,Non-Autonomous,1983
31,2133,"Mahatma Basaweshwar Education Society's College of Engineering, Ambejogai","Ambejogai, Beed",khadakbhavibi@gmail.com,Beed,Dr. B. I. Khadakbhavi,247262,2488882,NOT FILLED,Non-Autonomous,1993
32,2134,"Peoples Education Society's College of Engineering, Aurangabad","Nagasen Vana, Near Panchakki, University Rd., Aurangabad",principal@pescoe.ac.in,Aurangabad,Prin. Dr. A. P. WADEKAR,2403017,2403001,Shri. V. F. Gajbhiye,Non-Autonomous,1994
33,2137,"Nagnathappa Halge Engineering College, Parli, Beed","At Brahmwadi , Post Tokwadi, Parli-Beed State Highway, Parli Vaijnath Dist. Beed",nhce1@hotmail.com,Beed,Dr. M. Bhaskara Rao,224334,224334,Prof. Mulgir S.N.,Non-Autonomous,2001
34,2138,"Matsyodari Shikshan Sansatha's College of Engineering and Technology, Jalna","Jalna-Aurangabad Road, Nagewadi, Jalna",msscetjalna@gmail.com,Jalna,Dr. Biradar Shantisagar Kishanrao,202533,202533,Sham B. Bhojane,Non-Autonomous,2002
35,2141,"Shri Sai Samajik Vikas Santha's Shri Sai Colllege of Engineering, Paddari Village Tal. & Dist. Aurangabad","Gut No. 80, Paddari Village,Near Beed bypass,via Deolai,Near Sai Mandir, Tal. & Dist. Aurangabad",appoint01@gmail.com,Aurangabad,Prof : Kharat B.M.,6453732,6517388,Kharat B.M.,Non-Autonomous,2009
36,2145,"Geetai Charitable Trust's Khurana Sawant Institute of Engineering & Technology, Balsond, Hingoli.","Balsond, Tal.& Dist. Hingoli",ksiet_hingoli@yahoo.co.in,Hingoli,Prof. U. S. Sakhare,290281,290282,Ashruba Limbaji Korde,Non-Autonomous,2009
37,2146,"Adarsh Shikshan Prasarak Mandal's K. T. Patil College of Engineering and Technology, Osmanabad","Keshav Nagar, Jadahavwadi Road, Osmanabad.Tal. & Dist. Osmanabad",ktpcoeo@gmail.com,Osmanabad,Prof. PASARE BALAJI SHIVAJI,2293200,2293099,ANDHALKAR SANTOSH,Non-Autonomous,2009
38,2160,"G.S. Mandals Marathwada Institute of Technology (Arch.), Aurangabad","PB 327,Satara Road, Aurangabad",info@mit.asia,Aurangabad,Dr. N. G. Patil,2375111,2375111,Surendra R. Patil,Non-Autonomous,1984
39,2178,"Vinayakrao Patil Shikshan Prasarak Mandal, Institute Of Engineering & Technology Kannad","Kannad, Dist Aurangabad",1157principal@msbte.com,Aurangabad,WAVARE A V,220588,220588,MAGAR N.S.,Non-Autonomous,2009
40,2185,"Dharati Janseva Pratishthan, Diploma In Engineering & Technology Institute, Jalna","Rohanwadi, Revgaon Raod, Tq.Dist.Jalna",1093principal@msbte.com,Jalna,J.A Ingale,2482223,8888651267,SHINDE B. T.,Non-Autonomous,2008
41,2192,"Education Society, Kalawatibai College Of Engineering & Technology (Polytechnic), Naigaon, Nanded","Lalwandi Road, Tal. Naigaon (Kh), Nanded 431709",1155principal@msbte.com,Nanded,MAID M.D.,263399,263399,Mrs.Dachawar P.S.,Non-Autonomous,2009
42,2193,"Sahayog Sevabhai Sanstha, Indira Institute Of Technology(Polytechnic), Nanded.","Gat No. 18 & 22 Vishnupuri, Nanded 431606",indirapoly@gmail.com,Nanded,Prof. INGOLE T. B.,229155,229155,KIRKAN SHANKAR SANJAY,Non-Autonomous,2009
43,2224,"Gramodyogik Shikshan Mandal's Marathwada Institute of Technology, Aurangabad","P.B.-327, Satara Village Rd., off Beed By-Pass Highway Aurangabad , 431005",sunil.deshmukh@mit.asia,Aurangabad,S. G. Deshmukh,2375333,2375333,PRAKASH G. GADHE,Non-Autonomous,1983
44,2252,"Marathwada Shikshan Prasarak Mandal's Shri Shivaji Institute of Engineering and Management Studies, Parbhani","Vasmat Road,Parbhani",director.ssiems@yahoo.com,Parbhani,Prof. Anand Kacharu Pathrikar,234109,234109,Solanke Vikas Shankarrao,Non-Autonomous,2010
45,2292,"Anand Charitable Trusts, Diploma in Engineering & Technology, Murshadapur, Ashti, Dist. Beed","Murshadapur, Tq. Ashti, Dist. Beed. 414203",acspoly.ashti@gmail.com,Beed,Mr.Zagade Mahesh Devidas,282974,282974,Bodkhe Vijay Babanrao,Non-Autonomous,2010
46,2298,"Shri Sai Institute of Technology(Polytechnic),Aurangabad","P-75 Behind Garware Palyster,MIDC ,Chikalthana Aurangabad , 431210",ssitpoly@gmail.com,Aurangabad,Gawande K R,2470312,2470312,Gawande K R,Non-Autonomous,2011
47,2529,"V.J. Shinde College of Engineering, Osmanabad.","Gat No. 738, Waruda road, Osmanabad.",vjscoe2529@gmail.com,Osmanabad,Prof. Lagdive K. M.,203205,203205,Prof. Shinde Abhijeet V.,Non-Autonomous,2012
48,2533,"CSMSS Chh. Shahu College of Engineering, Aurangabad","Kanchanwadi, Paithan Road, Aurangabad.",shahuengg@gmail.com,Aurangabad,Dr. Ulhas B. Shinde,6646371,6646370,Pravinkumar G Jadhao,Non-Autonomous,2013
49,2573,"Gramin College of Engineering, Vishnupuri, Nanded","Vishnupuri, Nanded, Nanded waghala, Nanded",graminenggnanded@gmail.com,Nanded,Dr. Vijay Pawar,229112,229900,Mrs. Gajbhare jaya,Non-Autonomous,2017
50,3012,"Veermata Jijabai Technological Institute(VJTI), Matunga, Mumbai","H.R. Mahajani Marg, Matunga, Mumbai",director@vjti.org.in,Mumbai,Dr. Dhiren R. Patel,24198101,24198101,Dr. V. N. Palaskar,Autonomous,1887
51,3023,"St. Xavier's Technical Institute, Mumbai","Mahim Causeway Road, Mahim, Mumbai , 400016",office@xaviertech.com,Mumbai,Dr. Shivaji B. Ghungrad,24455937,24451961,RAVIRAJ GHADGE,Autonomous,1937
52,3028,"Father Agnel Technical College (Polytechnic), Bandra(W), Mumbai","Fr. Agnel Ashram Mumbai , 400050",fragnel_bandra@yahoo.com,Mumbai,M. S. MOHAN,67114054,67114051,DEEPAK MASANE,Autonomous,1969
53,3135,"Manjara Charitable Trust's Rajiv Gandhi Institute of Technology, Mumbai","Off. Juhu Versova Link Road, Versova, Andheri(W) Mumbai",mctrgit02@gmail.com,Mumbai,Dr. Sanjay U. Bokade,26707026,26707025,Shri. Subhash Khachane,Non-Autonomous,1992
54,3139,"Vidyalankar Institute of Technology,Wadala, Mumbai","Vidyalankar Educational Campus,Vidyalankar College Marg, Wadala(E), Mumbai",principal@vit.edu.in,Mumbai,Sunil Patekar,24161126,24161126,Mukund Deshmukh,Non-Autonomous,1999
55,3154,"Saraswati Education Society's Saraswati College of Engineering,Kharghar Navi Mumbai","Plot No 46/46 A, Sector 5 Near MSEB Sub Station Kharghar Navi Mumbai Dist. Raigad",registrarsaraswati@gmail.com,Raigad,DR.Manjusah Deshmukh,27743705,27743706,Mr.Amar Shinde,Non-Autonomous,2004
56,3173,"Deccan Education Society's Navinchandra Mehta Institute of Technology & Development, Dadar, Mumbai","DES's Mumbai Campus, Kirti College Road, Dadar (W), Mumbai. 400028",director@nmitd.edu.in,Mumbai,Dr. Samadhan Khamkar,62764583,62764583,PRASAD KULAKRNI,Non-Autonomous,2008
57,3175,"M.G.M.'s College of Engineering and Technology, Kamothe, Navi Mumbai","At Junction of NH4 & Sion-Panvel Expressway, Kamothe, Navi Mumbai",principal.cet@mgmmumbai.ac.in,Raigad,Dr. Santosh K. Narayankhedkar,27433421,65138119,Dr. Sunita Shinde,Non-Autonomous,1986
58,3182,"Thadomal Shahani Engineering College, Bandra, Mumbai","37th Road, Off Linking Road, (Near National), Bandra (West), Mumbai",gtthampi@yahoo.com,Mumbai,Prof. (Dr.) G.T.Thampi,26041631,26047087,Manohar Chandwani,Non-Autonomous,1983
59,3184,"Fr. Conceicao Rodrigues College of Engineering, Bandra,Mumbai","Father Agnel Ashram , Band-stand, Bandra (West), Mumbai",crce@fragnel.edu.in,Mumbai,Dr. Srija Unnikrishnan,67114000,67114101,Chandrashekhar Shetty,Non-Autonomous,1984
60,3185,"Vivekanand Education Society's Institute of Technology, Chembur, Mumbai","Hashu Advani Memorial Complex, Behind Collector Colony, R.C. Marg, Chembur, Mumbai",vesit@vsnl.com,Mumbai,Dr. (Mrs.) J. M. Nair,61532532,61532511,Mrs. Asma Parveen I.Siddavatam,Non-Autonomous,1984
61,3189,"Bharati Vidyapeeth College of Engineering, Navi Mumbai","Sector - 7,CBD- Belpur, Navi Mumbai 400614",principal.bvcoenm@bharatividyapeeth.edu,Thane,Dr.Sandhya D. Jadhav,27572140,27571074,Mr. Santosh Shahaji Pawar,Non-Autonomous,1990
62,3190,"Terna Engineering College, Nerul, Navi Mumbai","Plot No. 12, Sector-22,Opp. Nerul Railway Station,Phase-II, Nerul (W),Navi Mumbai",principal@terna.org,Thane,Dr. LAKSHMAPPA RAGHA,61115444,61115401,Kavita S.Kadam,Non-Autonomous,1991
63,3191,"Mandar Education Society's Rajaram Shinde College of Engineering, Pedhambe","At Pedhambe, Po. Alore, Tal : Chiplun, Dist. Ratnagiri",rscoedegree@gmail.com,Ratnagiri,DR. ANEESH GANGAL,230005,230005,D K Gaikwad,Non-Autonomous,1993
64,3192,"Smt. Indira Gandhi College of Engineering, Navi Mumbai","Plot No.1, Sector No. 08, Ghansoli , Navi Mumbai 400 701",contactus@sigce.edu.in,Thane,Dr. Sunil S. Chavan,27543608,8080949300,Chandrakant Jadhav,Non-Autonomous,1993
65,3193,"Shivajirao S. Jondhale College of Engineering, Dombivali,Mumbai","Sheel Kalyan Highway, Behind Venkatesh Petrolpump, Sonarpada, Manpada Post, Dombivali (E) Thane",officessjcoe@gmail.com,Thane,Dr. Bakal Jagdish Wasudeorao,2872560,2023973,Mr. Shejul F. C.,Non-Autonomous,1994
66,3194,"Vidyavardhini's College of Engineering and Technology, Vasai","Vasai Road (W Rly), Tal: Vasai, District Palghar",vcet_inbox@vcet.edu.in,Palghar,DR HARISH V. VANKUDRE,2338234,2338234,Mr. Vishal K. Save,Non-Autonomous,1994
67,3197,"Agnel Charities' FR. C. Rodrigues Institute of Technology, Vashi, Navi Mumbai","Sector 9-A, Vashi, Navi Mumbai,",principalfcrit@gmail.com,Thane,Dr. S.M.KHOT,227771000,27771000,Neena Biju Nair,Non-Autonomous,1994
68,3199,"Shri Vile Parle Kelvani Mandal's Dwarkadas J. Sanghvi College of Engineering, Vile Parle,Mumbai","Plot No. U-15, J.V.P.D. Scheme, Bhaktivedanta Swami Marg, Vile Parle (West), Mumbai",info@djsce.ac.in,Mumbai,Dr. Hari Vasudevan,26123892,26123892,Mrs. Shreeya Hadkar,Non-Autonomous,1994
69,3202,Rajendra Mane College of Engineering & Technology Ambav Deorukh,"At - Ambav (Devrukh).Tal Sangameshwar,Dist.- Ratnagiri",info@rmcet.com,Ratnagiri,Dr. M. M. Bhagwat,269400,269609,Padmanabh Shelar,Non-Autonomous,1998
70,3203,"Atharva College of Engineering,Malad(West),Mumbai","S. No. 263, Plot No. 8-12, Malad-Marve Rd, Charkop Naka, Malad(W), Mumbai",ace@atharvaeducation.com,Mumbai,Dr. SHRIKANT KALLURKAR,40294949,40294907,ANANDA KANGANE,Non-Autonomous,1999
71,3207,"Mahatma Education Society's Pillai College of Engineering, New Panvel","Dr. K.M.Vasudevan Pillais' Campus Plot No. 10, Sector 16, New Panvel, Dist.Raigad",principalpce@mes.ac.in,Raigad,Dr. Sandeep M. Joshi,27456100,27451700,P. Kumaran,Non-Autonomous,2000
72,3208,"Don Bosco Institute of Technology, Mumbai","Premier Automobiles Road,Opp. Fiat Company, Kurla (West), Mumbai",dbit@dbit.in,Mumbai,Dr. Prasanna Nambiar,25042018,25040508,Mr. Rajendra Tatkare,Non-Autonomous,2001
73,3209,"K J Somaiya Institute of Engineering and Information Technology, Sion, Mumbai","Somaiya Auryvihar Complex, Near Everard Nagar Eastern Express Highway, Sion (East), Mumbai",principal.tech@somaiya.edu,Mumbai,Dr. Suresh K. Ukarande,24080331,24061401,Ankush Gaikwad,Non-Autonomous,2001
74,3217,"Vighnaharata Trust's Shivajirao S. Jondhale College of Engineering & Technology, Shahapur, Asangaon, Dist Thane","At Asangaon, Tal Shahapur, Opp Railway station, Dist : Thane",vjtsscoe@rediffmail.com,Thane,Dr. GEETHA K. JAYARAJ,273999,273999,KISHOR JONDHALE,Non-Autonomous,2007
75,3219,"Koti Vidya Charitable Trust's Smt. Alamuri Ratnamala Institute of Engineering and Technology, Sapgaon, Tal. Shahapur","Sapgaon, Taluka Shahapur Dist. Thane",registrar@armiet.com,Thane,Dr. LAVENDRA S BOTHRA,40244310,40244310,Ankit Suresh Sanghavi,Non-Autonomous,2008
76,3220,"Saraswati Education Society, Yadavrao Tasgaonkar College of Engineering and Management, Nasarapur, Chandai, Karjat","Chandhai, Neral - Kadav Raod, Post Nasrapur, Taluka Karjat, Dist. Raigad",sesytcem@gmail.com,Raigad,Prof. Raju Sairise,321524,321524,vivek dadu sawant,Non-Autonomous,2008
77,3221,"Late Shri. Vishnu Waman Thakur Charitable Trust, Viva Institute of Technology, Shirgaon","Shirgaon, At. Post Virar, Tal. Vasai. Thane",principalvit@vivacollege.org,Palghar,Dr. Arun Kumar,7770002544,7770002544,Mr. Mahendra D. Kajare,Non-Autonomous,2009
78,3222,"Haji Jamaluddin Thim Trust's Theem College of Engineering, At. Villege Betegaon, Boisar","At Village Betegaon,Boisar Chillhar Road , Near Union Park, Boisar(E), Tal: Palghar,",info@theemcoe.org,Palghar,Dr. Aqueel Ahmed Shah,284909,284926,SHEETAL PATIL,Non-Autonomous,2009
79,3223,"Mahatma Education Society's Pillai HOC College of Engineering & Technology, Tal. Khalapur. Dist. Raigad",Pillai HOCL Educational,pragneshshah@mes.ac.in,Raigad,Dr. Madhumita Chatterjee,669000,669001,Mr.Shirish Mayekar,Non-Autonomous,2009
80,3224,"Leela Education Society, G.V. Acharya Institute of Engineering and Technology, Shelu, Karjat","Shelu/Damat Village, (Opp. Shelu Rly Station), Tal. Karjat. Dist. Raigad",principalgvaiet@yahoo.com,Raigad,Dr. Rajendra Prasad,229628,229628,Swapnil Bafana,Non-Autonomous,2009
81,3270,"Maratha Mandir's Babasaheb Gawade Institute of Technology, Mumbai","Maratha Mandir annex,Babasaheb Gawade Chowk, Mumbai , 400008",ajit.parab@mmbgims.com,Mumbai,Mr.Ajit Bhikaji Parab,66044100,66044100,Yogesh Sawant,Non-Autonomous,1997
82,3281,"Saraswati Education Society,Saraswati Institute of Technology, Kharghar, Navi Mumbai","Plot No.-46/46A, Behind M.S.E.B.Sub Station, Near Utsav Chowk, Sector-5, Kharghar Navi Mumbai Raigad , 410210",ses.siot.os.09@gmail.com,Raigad,Mr.D.R. Suroshe,27743705,27743706,Mr. Amar A. Shinde,Non-Autonomous,2008
83,3353,"Dilkap Research Institute Of Engineering and Management Studies, At.Mamdapur, Post- Neral, Tal- Karjat, Mumbai","Village At.Mamdapur, Post- Neral, Tal- Karjat, Dist.Raigadh",sumaneducationaltrust@gmail.com,Raigad,DR K NARAYAN CHOUDHARY,651806,651806,Mr. Jalindar Shinde,Non-Autonomous,2010
84,3423,"Shree L.R. Tiwari College of Engineering, Mira Road, Mumbai","Survey no. 267, Near Commisioner's Bungalow,Kanakiya Park,Mira Road (E)Thane",slrtce@rahuleducation.com,Thane,Dr.S. Ram Reddy,28120144,28120145,hubale santosh,Non-Autonomous,2010
85,3439,"Anjuman-I-Islam's Kalsekar Technical Campus, Panvel","Plot No.2, 3 Sector - 16, Khandgaon, Thane Naka, Panvel Dist. Raigad",aiktc.newpanvel@gmail.com,Raigad,Dr. ABDUL RAZZAK HONNUTAGI,27481247,27481249,Dr. Jamil Daud,Non-Autonomous,2011
86,3447,"G.M.Vedak Institute of Technology, Tala, Raigad.","At Post Taluka. Tala, Dist. Raigad",gmvedakit@gmail.com,Raigad,Dr.Dilip N. Jaiswal,269004,269004,Prof. Satish Jadhav,Non-Autonomous,2011
87,3460,"Universal College of Engineering,Kaman Dist. Palghar","Kaman Bhiwandi Road, S.N. 146(Part), Kaman, Vasai",moses.lopes@universal.edu.in,Palghar,Dr. Jitendra B Patil,69624580,2210044,Mr. Moses Lopes,Non-Autonomous,2012
88,3462,"VPM's Maharshi Parshuram College of Engineering, Velneshwar, Ratnagiri.","At Post Velneshwar, Hedvai-Guhagar Road, Guhagar,Ratnagiri.",info@vpmmpcoe.org,Ratnagiri,Dr. Amitkumar T. Mane,243101,9527634958,Mr. Ravindra Rasal,Non-Autonomous,2012
89,3465,"Ideal Institute of Technology, Wada, Dist.Thane","40, Pasheri Village, Pimplaj road, Taluka Wada, Dist.Thane.",idealinstituteoftechnology13@gmail.com,Palghar,Dr. Bhuwan Chandra,212144,212144,Mr. Jugal Mehra,Non-Autonomous,2013
90,3467,"Vishwaniketan's Institute of Management Entrepreneurship and Engineering Technology(i MEET), Khalapur Dist Raigad","Survey No. 52 Kumbhivali, On Mumbai-Pune Expressway, Near Khalapur Toll Naka ,Tal-Khalapur, Dist- Raigad",mail.vishwaniketan@gmail.com,Raigad,Dr. B. R. Patil,274206,274210,Mr. H. R. Mavkar,Non-Autonomous,2013
91,3471,"New Horizon Institute of Technology & Management, Thane","Anand Nagar, Kavesar, Off. Ghodbunder Road, Thane(W)",principal@nhitm.ac.in,Thane,Dr. Prashant D.Deshmukh,25971778,25971778,Mr. Rupesh Pethe,Non-Autonomous,2014
92,4004,"Government College of Engineering, Chandrapur","Ballarsha Bypass Road,Chandrapur",gcoechandrapur@gmail.com,Chandrapur,Dr. G.G. Bhutada,230478,230299,Smt. S. R. Bhagwat,Non-Autonomous,1996
93,4005,"Laxminarayan Institute of Technology, Nagpur","L.I.T.Premises, Opposite Bharatnagar, Amravati Road, Nagpur",rajumankar@gmail.com,Nagpur,Dr Raju B Mankar,2561107,2531659,Dr. Vinayak Deshpande,Non-Autonomous,1942
94,4025,"Government College of Engineering, Nagpur","Sector-27, Mihan Rehabilitation Colony, Khapari, Nagpur",office.gcoenagpur@dtemaharashtra.gov.in,Nagpur,PROF.MADHAV KUMTHEKAR,202012,202011,MR.N. H. BHUJADE,Non-Autonomous,2016
95,4104,"Kavi Kulguru Institute of Technology & Science, Ramtek","K. K. Nagar, Ramtek, Nagpur - 441 106",principal@kits.edu,Nagpur,Dr. B. Ram Rathan Lal,255309,255047,Dr. B. Ram Rathan Lal,Non-Autonomous,1985
96,4115,"Shri Ramdeobaba College of Engineering and Management, Nagpur","Gittikhadan, Katola Road, Nagpur",deanadmissions@rknec.edu,Nagpur,Dr. R. S. Pande,2580011,2583239,Prof. Nikhil Shirish Damle,Autonomous,1984
97,4116,"Ankush Shikshan Sanstha's G.H.Raisoni College of Engineering, Nagpur","C.R.P.F. Gate No.3, Digdoh Hills, Hingna Road, Nagpur",principal.ghrce@raisoni.net,Nagpur,Dr. Sachin Untawale,9604787184,9881713575,Dr Sanjay Dorle,Autonomous,1996
98,4123,"Lokmanya Tilak Jankalyan Shikshan Sanstha, Priyadarshani College of Engineering, Nagpur","Near CRPF Campus, Hingna Road, Nagpur",mpsingh3712@rediffmail.com,Nagpur,Dr. M. P. Singh,244381,244285,Mr. Vijay Athalye,Non-Autonomous,1990
99,4133,"Sanmarg Shikshan Sanstha's Smt. Radhikatai Pandav College of Engineering, Nagpur","Near Dighori Naka, Umrer Road, Bhadura, Nagpur",admin@srpce.ac.in,Nagpur,Dr. Prashant Lanjewar,663603,663603,Mr. Satish Lanjewar,Non-Autonomous,1999
